,Mkt-RF,SMB,HML,RMW,CMA,RF
  1964,   12.54,    0.33,    9.86,   -2.99,    6.80,    3.54
  1965,   10.52,   24.41,    7.36,   -0.79,   -3.17,    3.93
  1966,  -13.51,    2.15,   -0.68,   -0.12,   -0.34,    4.76
  1967,   24.49,   50.40,   -8.58,    7.53,  -15.04,    4.21
  1968,    8.79,   26.32,   18.49,  -12.84,   16.25,    5.21
  1969,  -17.54,  -14.06,   -9.81,   11.77,   -4.14,    6.58
  1970,   -6.49,  -12.36,   22.34,   -2.65,   24.45,    6.52
  1971,   11.78,    5.58,  -11.29,   10.16,   -5.86,    4.39
  1972,   13.05,  -11.43,    1.75,    7.99,   -3.05,    3.84
  1973,  -26.19,  -20.00,   18.08,   -9.03,    6.66,    6.93
  1974,  -35.75,    0.67,    9.67,   -4.04,   22.88,    8.00
  1975,   32.44,   19.05,    9.49,    0.53,    0.48,    5.80
  1976,   21.91,   19.90,   24.50,   -6.67,    7.47,    5.08
  1977,   -8.26,   24.63,    7.50,    2.17,   -0.38,    5.12
  1978,    1.03,   13.68,    0.37,    5.07,    4.15,    7.18
  1979,   13.09,   21.05,   -2.12,   -2.80,   -0.99,   10.38
  1980,   22.13,    4.91,  -25.06,   14.08,  -11.32,   11.24
  1981,  -18.13,    7.48,   25.01,   -1.60,   10.36,   14.71
  1982,   10.66,    7.42,   13.59,   -4.46,   18.01,   10.54
  1983,   13.74,   11.84,   20.85,    0.67,   16.43,    8.80
  1984,   -6.05,   -8.45,   19.63,   14.88,    3.84,    9.85
  1985,   24.91,   -0.62,    1.35,   11.89,   -2.49,    7.72
  1986,   10.12,  -10.37,    9.58,    7.13,    9.84,    6.16
  1987,   -3.87,  -11.28,   -1.64,    6.20,    6.90,    5.47
  1988,   11.55,    6.46,   14.77,    3.08,    9.74,    6.35
  1989,   20.49,  -13.02,   -4.29,    2.74,    8.21,    8.37
  1990,  -13.95,  -14.31,   -9.72,    7.45,    0.60,    7.81
  1991,   29.18,   15.76,  -14.41,   12.07,  -14.91,    5.60
  1992,    6.23,    9.07,   24.28,    7.54,    6.96,    3.51
  1993,    8.21,    6.00,   18.92,   -8.57,   12.00,    2.90
  1994,   -4.10,   -2.51,   -0.69,    6.35,    3.90,    3.90
  1995,   31.22,   -8.17,    5.30,    1.96,    2.82,    5.60
  1996,   15.96,   -2.80,    6.16,   15.53,    0.53,    5.21
  1997,   25.96,   -6.17,   17.46,   10.51,    5.19,    5.26
  1998,   19.46,  -28.67,   -8.89,    0.63,   -4.60,    4.86
  1999,   20.57,    8.56,  -31.77,  -27.89,   -8.44,    4.68
  2000,  -17.60,    4.21,   39.69,   26.67,   32.74,    5.89
  2001,  -15.20,   23.68,   19.52,   19.84,   11.79,    3.83
  2002,  -22.76,    5.82,    7.47,   20.39,   14.47,    1.65
  2003,   30.75,   24.48,    5.40,  -20.46,   17.26,    1.02
  2004,   10.72,    7.34,    8.08,    8.34,   -7.86,    1.20
  2005,    3.09,   -0.75,    8.33,    1.71,   -5.02,    2.98
  2006,   10.60,    1.52,   14.12,    2.08,    8.13,    4.80
  2007,    1.04,   -7.94,  -14.65,    4.37,   -7.80,    4.66
  2008,  -38.34,    3.36,    0.80,   15.13,    4.15,    1.60
  2009,   28.26,    7.94,   -9.25,    2.33,   -2.74,    0.10
  2010,   17.37,   13.30,   -5.31,   -1.29,    9.88,    0.12
  2011,    0.44,   -5.77,   -8.39,   12.66,   -0.95,    0.04
  2012,   16.28,   -0.05,    9.75,   -4.56,    9.40,    0.06
  2013,   35.20,    7.66,    1.50,   -4.35,    1.25,    0.02
  2014,   11.70,   -8.07,   -1.67,    1.03,   -1.66,    0.02
  2015,    0.07,   -5.87,   -9.65,    0.90,   -8.55,    0.02
  2016,   13.30,    9.18,   22.90,    4.80,    9.56,    0.20
  2017,   21.50,   -5.85,  -13.91,    6.98,  -11.70,    0.80
  2018,   -6.93,   -5.32,   -9.20,   -0.96,    0.24,    1.81
  2019,   28.28,   -6.09,  -12.14,    5.21,   -2.79,    2.14