twitter_name,Name
@amazon,AMAZON.COM
@AbbottGlobal,ABBOTT LABORATORIES
@CorpAES,AES
@abiomedimpella,ABIOMED
@IBM,INTERNATIONAL BUS.MCHS.
@AMD,ADVANCED MICRO DEVICES
@Adobe,ADOBE (NAS)
@airproducts,AIR PRDS.& CHEMS.
@AlaskaAir,ALASKA AIR GROUP
@bxpboston,BOSTON PROPERTIES
@Allstate,ALLSTATE ORD SHS
@honeywell,HONEYWELL INTL.
@amgen,AMGEN
@HessCorporation,HESS
@AmericanExpress,AMERICAN EXPRESS
@AEPNews,AMER.ELEC.PWR.
@Aflac,AFLAC
@AIGInsurance,AMERICAN INTL.GP.
@ADI_News,ANALOG DEVICES
@Alexion_Pharma,ALEXION PHARMS.
@ValeroEnergy,VALERO ENERGY
@ApacheCorp,APACHE
@comcast,COMCAST A
@ANSYS,ANSYS
@Apple,APPLE
@Applied4Tech,APPLIED MATS.
@AlbemarleCorp,ALBEMARLE
@ADMupdates,ARCHER DANIELS MIDLAND
@apsFYI,PINNACLE WEST CAP.
@AmerenCorp,AMEREN
@autodesk,AUTODESK
@ADP,AUTOMATIC DATA PROC.
@autozone,AUTOZONE
@AveryDennison,AVERY DENNISON
@BallCorpHQ,BALL
@baxter_intl,BAXTER INTL.
@BDandCo,BECTON DICKINSON
@AMETEKInc,AMETEK
@Verizon,VERIZON COMMUNICATIONS
@WRBerkleyCorp,W R BERKLEY
@BestBuy,BEST BUY
@SLGreen,SL GREEN REALTY
@BioRadLifeSci,BIO-RAD LABORATORIES 'A'
@yumbrands,YUM! BRANDS
@firstenergycorp,FIRSTENERGY
@HRBlock,H&R BLOCK
@Boeing,BOEING
@roberthalf,ROBERT HALF INTL.
@BorgWarner,BORGWARNER
@bostonsci,BOSTON SCIENTIFIC
@CHRobinson,CH ROBINSON WWD.
@RockstarGames,TAKE TWO INTACT.SFTW.
@2K,TAKE TWO INTACT.SFTW.
@mettlertoledo,METTLER TOLEDO INTL.
@bmsnews,BRISTOL MYERS SQUIBB
@ONEOK,ONEOK
@AvalonBay,AVALONBAY COMMNS.
@UnitedRentals,UNITED RENTALS
@SempraEnergy,SEMPRA EN.
@FedEx,FEDEX
@VERISIGN,VERISIGN
@amphenol,AMPHENOL 'A'
@brownforman,BROWN-FORMAN 'B'
@Quanta_Services,QUANTA SERVICES
@CSX,CSX
@CabotOG,CABOT OIL & GAS 'A'
@CampbellSoupCo,CAMPBELL SOUP
@cbrands,CONSTELLATION BRANDS 'A'
@cardinalhealth,CARDINAL HEALTH
@CaterpillarInc,CATERPILLAR
@citrix,CITRIX SYS.
@CenturyLink,CENTURYLINK
@Cerner,CERNER
@jpmorgan,JP MORGAN CHASE & CO.
@CintasCorp,CINTAS
@Cisco,CISCO SYSTEMS
@Clorox,CLOROX
@CocaCola,COCA COLA
@Copart,COPART
@CP_News,COLGATE-PALM.
@MarriottIntl,MARRIOTT INTL.'A'
@ComericaBank,COMERICA
@nrgenergy,NRG ENERGY
@ConagraBrands,CONAGRA BRANDS
@ConEdison,CONSOLIDATED EDISON
@ConsumersEnergy,CMS ENERGY
@CooperVision,COOPER COS.
@Corning,CORNING
@Sealed_Air,SEALED AIR
@Cummins,CUMMINS
@DRHorton,D R HORTON
@MoodysAnalytics,MOODY'S
@MoodysCorp,MOODY'S
@MoodysInvSvc,MOODY'S
@Cognizant,COGNIZANT TECH.SLTN.'A'
@Target,TARGET
@JohnDeere,DEERE
@MorganStanley,MORGAN STANLEY
@RepublicService,REPUBLIC SVS.'A'
@Disney,WALT DISNEY
@DollarTree,DOLLAR TREE
@DoverCorp,DOVER
@OmnicomMediaGrp,OMNICOM GROUP
@DTE_Energy,DTE ENERGY
@DukeRealty,DUKE REALTY
@Flowserve,FLOWSERVE
@olivegarden,DARDEN RESTAURANTS
@LongHornSteaks,DARDEN RESTAURANTS
@CheddarsAtUCF,DARDEN RESTAURANTS
@YardHouse,DARDEN RESTAURANTS
@CapitalGrille,DARDEN RESTAURANTS
@BahamaBreeze,DARDEN RESTAURANTS
@EddieVs,DARDEN RESTAURANTS
@darden,DARDEN RESTAURANTS
@eBay,EBAY
@BankofAmerica,BANK OF AMERICA
@Citi,CITIGROUP
@EastmanChemCo,EASTMAN CHEMICAL
@etrade,E TRADE FINANCIAL
@Cadence,CADENCE DESIGN SYS.
@dish,DISH NETWORK 'A'
@Ecolab,ECOLAB
@PerkinElmer,PERKINELMER
@EA,ELECTRONIC ARTS
@salesforce,SALESFORCE.COM
@Emerson_News,EMERSON ELECTRIC
@atmosenergy,ATMOS ENERGY
@EssexProperties,ESSEX PROPERTY TST.
@Entergy,ENTERGY
@Equifax,EQUIFAX
@EquityRes,EQUITY RESD.TST.PROPS. SHBI
@EsteeLauder,ESTEE LAUDER COS.'A'
@15021905D,EXPEDITOR INTL.OF WASH.
@exxonmobil,EXXON MOBIL
@FMCCorp,FMC
@nexteraenergy,NEXTERA ENERGY
@Assurant,ASSURANT
@FastenalCompany,FASTENAL
@FederalRealty,FEDERAL REALTY INV.TST.
@FifthThird,FIFTH THIRD BANCORP
@MandT_Bank,M&T BANK
@Fiserv,FISERV
@flir,FLIR SYSTEMS
@FTI_Global,FRANKLIN RESOURCES
@FM_FCX,FREEPORT-MCMORAN
@GallagherGlobal,ARTHUR J GALLAGHER
@Gap,GAP
@generaldynamics,GENERAL DYNAMICS
@GeneralMills,GENERAL MILLS
@genuinepartsco,GENUINE PARTS
@GileadSciences,GILEAD SCIENCES
@Gartner_inc,GARTNER 'A'
@McKesson,MCKESSON
@NVIDIA,NVIDIA
@generalelectric,GENERAL ELECTRIC
@grainger,WW GRAINGER
@Halliburton,HALLIBURTON
@GoldmanSachs,GOLDMAN SACHS GP.
@Hasbro,HASBRO
@HenrySchein,HENRY SCHEIN
@HersheyCompany,HERSHEY
@F5Networks,F5 NETWORKS
@JuniperNetworks,JUNIPER NETWORKS
@Hologic,HOLOGIC
@unumnews,UNUM GROUP
@HomeDepot,HOME DEPOT
@HormelFoods,HORMEL FOODS
@energyinsights,CENTERPOINT EN.
@Humana,HUMANA
@jbhunt360,HUNT JB TRANSPORT SVS.
@Huntington_Bank,HUNTINGTON BCSH.
@biogen,BIOGEN
@IDEXCorp,IDEX
@ITWCareers,ILLINOIS TOOL WORKS
@Intuit,INTUIT
@Laboratories,IDEXX LABORATORIES
@intel,INTEL
@IFF,INTL.FLAVORS & FRAG.
@IntlPaperCo,INTERNATIONAL PAPER
@InterpublicIPG,INTERPUBLIC GROUP
@JacobsConnects,JACOBS ENGR.
@JackHenryAssoc,JACK HENRY AND ASSOCIATES
@Incyte,INCYTE
@JNJCares,JOHNSON & JOHNSON
@TheHartford,HARTFORD FINL.SVS.GP.
@KLAcorp,KLA
@DevonEnergy,DEVON ENERGY
@KelloggCompany,KELLOGG
@keybank,KEYCORP
@kimcorealty,KIMCO REALTY
@Kleenex,KIMBERLY-CLARK
@Huggies,KIMBERLY-CLARK
@ubykotex,KIMBERLY-CLARK
@Depend,KIMBERLY-CLARK
@cottonelle,KIMBERLY-CLARK
@GoodNites,KIMBERLY-CLARK
@KCCorp,KIMBERLY-CLARK
@BlackRock_News,BLACKROCK
@Kohls,KOHL'S
@kroger,KROGER
@LamResearch,LAM RESEARCH
@TeledyneHanson,TELEDYNE TECHS.
@TeledyneLeeman,TELEDYNE TECHS.
@TeledyneIsco,TELEDYNE TECHS.
@TeledyneRelay,TELEDYNE TECHS.
@teledyneicm,TELEDYNE TECHS.
@TeledyneSSI,TELEDYNE TECHS.
@TeledynePDS,TELEDYNE TECHS.
@tmsmicrowave,TELEDYNE TECHS.
@TDYAnaFocus,TELEDYNE TECHS.
@TeledyneLED,TELEDYNE TECHS.
@teledynebowtech,TELEDYNE TECHS.
@teledynecml,TELEDYNE TECHS.
@TeledyneTekmar,TELEDYNE TECHS.
@TeledyneAES,TELEDYNE TECHS.
@TeledyneOptech,TELEDYNE TECHS.
@OceanSciGroup,TELEDYNE TECHS.
@DefenseTeledyne,TELEDYNE TECHS.
@TeledyneCETAC,TELEDYNE TECHS.
@TeledyneRDI,TELEDYNE TECHS.
@Qimaging,TELEDYNE TECHS.
@TeledyneRESON,TELEDYNE TECHS.
@Lumenera,TELEDYNE TECHS.
@e2vteledyne,TELEDYNE TECHS.
@TeledyneDS,TELEDYNE TECHS.
@TeledyneMarine,TELEDYNE TECHS.
@TeledyneDALSA,TELEDYNE TECHS.
@TeledyneBrown,TELEDYNE TECHS.
@Princeton_Inst,TELEDYNE TECHS.
@TeledyneLecroy,TELEDYNE TECHS.
@Photometrics,TELEDYNE TECHS.
@CARIS_GIS,TELEDYNE TECHS.
@packagingcorp,PACKAGING CORP.OF AM.
@Akamai,AKAMAI TECHS.
@leggettandplatt,LEGGETT&PLATT
@Lennar,LENNAR 'A'
@LillyPad,ELI LILLY
@lincolnfingroup,LINCOLN NATIONAL
@UPS,UNITED PARCEL SER.'B'
@Agilent,AGILENT TECHS.
@LockheedMartin,LOCKHEED MARTIN
@Loews_Hotels,LOEWS
@CarnivalCruise,CARNIVAL
@CarinvalPLC,CARNIVAL
@Lowes,LOWE'S COMPANIES
@DominionEnergy,DOMINION ENERGY
@MGMResortsIntl,MGM RESORTS INTL.
@McCormickCorp,MCCORMICK & COMPANY NV.
@McDonalds,MCDONALDS
@Everest_Re,EVEREST RE GP.
@EdwardsLifesci,EDWARDS LIFESCIENCES
@MMC_Global,MARSH & MCLENNAN
@MartinMarietta,MARTIN MRTA.MATS.
@MetLife,METLIFE
@maximintegrated,MAXIM INTEGRATED PRDS.
@Activision,ACTIVISION BLIZZARD
@ATVI_AB,ACTIVISION BLIZZARD
@CVSHealth,CVS HEALTH
@Labcorp,LABORATORY CORP.OF AM. HDG.
@Microsoft,MICROSOFT
@MicronTech,MICRON TECHNOLOGY
@MicrochipTech,MICROCHIP TECH.
@3M,3M
@mhkgreenworks,MOHAWK INDUSTRIES
@illumina,ILLUMINA
@xcelenergy,XCEL ENERGY
@Ford,FORD MOTOR
@NOVGlobal,NATIONAL OILWELL VARCO
@NetApp,NETAPP
@newell_brands,NEWELL BRANDS (XSC)
@NewmontCorp,NEWMONT
@Nike,NIKE 'B'
@ChevronColorado,NOBLE ENERGY
@nscorp,NORFOLK SOUTHERN
@NiSourceInc,NISOURCE
@NorthernTrust,NORTHERN TRUST
@NGCNews,NORTHROP GRUMMAN
@northropgrumman,NORTHROP GRUMMAN
@WellsFargo,WELLS FARGO & CO
@NucorSkyline,NUCOR
@AskCapitalOne,CAPITAL ONE FINL.
@WeAreOxy,OCCIDENTAL PTL.
@ODFL_Inc,OLD DOMINION FGT.LINES
@Oracle,ORACLE
@Exelon,EXELON
@ParkerHannifin,PARKER-HANNIFIN
@Paychex,PAYCHEX
@AlignTechInc,ALIGN TECHNOLOGY
@PPLCorp,PPL
@pepsi,PEPSICO
@pfizer,PFIZER
@conocophillips,CONOCOPHILLIPS
@PXDtweets,PIONEER NTRL.RES.
@AltriaNews,ALTRIA GROUP
@PNCBank_Help,PNC FINL.SVS.GP.
@PNCNews,PNC FINL.SVS.GP.
@PNCBank,PNC FINL.SVS.GP.
@PPG,PPG INDUSTRIES
@ipgphotonics,IPG PHOTONICS
@costco,COSTCO WHOLESALE
@TRowePrice,T ROWE PRICE GROUP
@QuestDX,QUEST DIAGNOSTICS
@ProcterGamble,PROCTER & GAMBLE
@progressive,PROGRESSIVE OHIO
@PSEGNews,PUB.SER.ENTER.GP.
@PSEGdelivers,PUB.SER.ENTER.GP.
@PulteGroupNews,PULTEGROUP
@GlobalPayInc,GLOBAL PAYMENTS
@Qualcomm,QUALCOMM
@RaymondJames,RAYMOND JAMES FINL.
@RealtyIncome,REALTY INCOME
@regencycenters,REGENCY CENTERS
@Regeneron,REGENERON PHARMS.
@ResMed,RESMED
@usbank,US BANCORP
@Ross_Stores,ROSS STORES
@IFCPest,ROLLINS
@WesternPestSrvc,ROLLINS
@PestDefense,ROLLINS
@OrkinPest,ROLLINS
@ROKAutomation,ROCKWELL AUTOMATION
@Silversea,ROYAL CARIBBEAN CRUISES
@Azamara,ROYAL CARIBBEAN CRUISES
@CelebrityCruise,ROYAL CARIBBEAN CRUISES
@RoyalCaribbean,ROYAL CARIBBEAN CRUISES
@Travelers,TRAVELERS COS.
@FISGlobal,FIDELITY NAT.INFO.SVS.
@Merck,MERCK & COMPANY
@CharlesSchwab,CHARLES SCHWAB
@zimmerbiomet,ZIMMER BIOMET HDG.
@Healthcare_ABC,AMERISOURCEBERGEN
@principal,PRINCIPAL FINL.GP.
@SherwinWilliams,SHERWIN-WILLIAMS
@Centene,CENTENE
@SVB_Financial,SVB FINANCIAL GROUP
@SimonPropertyGp,SIMON PROPERTY GROUP
@AOSmithHotWater,SMITH (AO)
@Snapon_Tools,SNAP-ON
@Prudential,PRUDENTIAL FINL.
@AdvanceAuto,ADV.AUTO PARTS
@Edison_Energy,EDISON INTL.
@SCE,EDISON INTL.
@SouthernCompany,SOUTHERN
@SouthwestAir,SOUTHWEST AIRLINES
@ATT,AT&T
@Chevron,CHEVRON
@StateStreet,STATE STREET
@Starbucks,STARBUCKS
@PublicStorage,PUBLIC STORAGE
@StrykerEC,STRYKER
@StrykerSportMed,STRYKER
@Stryker_TE,STRYKER
@Stryker_NV,STRYKER
@StrykerEndo,STRYKER
@StrykerOI,STRYKER
@Stryker_ST,STRYKER
@netflix,NETFLIX
@synopsys,SYNOPSYS
@Sysco,SYSCO
@IntuitiveSurg,INTUITIVE SURGICAL
@TeleflexCardiol,TELEFLEX
@TeleflexSurgery,TELEFLEX
@TeleflexInc,TELEFLEX
@TXInstruments,TEXAS INSTRUMENTS
@Textron,TEXTRON
@thermofisher,THERMO FISHER SCIENTIFIC
@TiffanyAndCo,TIFFANY & CO
@DaVita,DAVITA
@TractorSupply,TRACTOR SUPPLY
@tylertech,TYLER TECHNOLOGIES
@TysonFoods,TYSON FOODS 'A'
@MarathonOil,MARATHON OIL
@UnionPacific,UNION PACIFIC
@UnitedHealthGrp,UNITEDHEALTH GROUP
@UHS_Inc,UNIVERSAL HEALTH SVS.'B'
@VarianMedSys,VARIAN MEDICAL SYSTEMS
@VFCorp,V F
@VertexPharma,VERTEX PHARMS.
@Walmart,WALMART
@WasteManagement,WASTE MANAGEMENT
@WatersCorp,WATERS
@WestPharma,WEST PHARM.SVS.
@smuckers,J M SMUCKER
@westerndigital,WESTERN DIGITAL
@WabtecCorp,WABTEC
@Weyerhaeuser,WEYERHAEUSER
@WhirlpoolCorp,WHIRLPOOL
@skyworksinc,SKYWORKS SOLUTIONS
@WynnLasVegas,WYNN RESORTS
@Nasdaq,NASDAQ
@CMEGroup,CME GROUP
@WilliamsUpdates,WILLIAMS
@LKQCorp,LKQ
@alliantenergy,ALLIANT ENERGY (XSC)
@CarMax,CARMAX
@XilinxInc,XILINX
@tjmaxx,TJX
@ZebraTechnology,ZEBRA TECHNOLOGIES 'A'
@ZionsBank,ZIONS BANCORP.
@RegionsNews,REGIONS FINL.NEW
@dominos,DOMINO'S PIZZA
@extraspace,EXTRA SPACE STRG.
@LasVegasSands,LAS VEGAS SANDS
@digitalrealty,DIGITAL REALTY TST.
@MarketAxess,MARKETAXESS HOLDINGS
@celanese,CELANESE
@MolsonCoors,MOLSON COORS BEVERAGE COMPANY B
@CFIndustries,CF INDUSTRIES HDG.
@ameriprise,AMERIPRISE FINL.
@UnderArmour,UNDER ARMOUR A
@Ticketmaster,LIVE NATION ENTM.
@LiveNation,LIVE NATION ENTM.
@ChipotleTweets,CHIPOTLE MEXN.GRILL
@Mastercard,MASTERCARD
@HanesBrands,HANESBRANDS
@WesternUnion,WESTERN UNION
@Broadridge,BROADRIDGE FINL.SLTN.
@PeoplesUnited,PEOPLES UNITED FINANCIAL
@Delta,DELTA AIR LINES
@Discover,DISCOVER FINANCIAL SVS.
@ConchoOilfield,CONCHO RESOURCES
@BNYMellon,BANK OF NEW YORK MELLON
@ultabeauty,ULTA BEAUTY
@InvescoUs,INVESCO
@MSCI_Inc,MSCI
@InsidePMI,PHILIP MORRIS INTL.
@Visa,VISA 'A'
@awwa,AMERICAN WATER WORKS
@Chubb,CHUBB
@Discovery,DISCOVERY SERIES A
@MarathonPetroCo,MARATHON PETROLEUM
@FBHS_News,FORTUNE BNS.HM.& SCTY.
@MosaicCompany,MOSAIC
@Kinder_Morgan,KINDER MORGAN
@XylemInc,XYLEM
@StanleyBlkDeckr,STANLEY BLACK & DECKER
@LyondellBasell,LYONDELLBASELL INDS.CL.A
@PVHCorp,PVH
@Garmin,GARMIN
@HIIndustries,HNTGTN.INGALLS INDS.
@Prologis,PROLOGIS REIT
@Accenture,ACCENTURE CLASS A
@HCAhealthcare,HCA HEALTHCARE
@Verisk,VERISK ANALYTICS CL.A
@united,UNITED AIRLINES HOLDINGS
@FLEETCOR,FLEETCOR TECHNOLOGIES
@RalphLauren,RALPH LAUREN CL.A
@firstrepublic,FIRST REPUBLIC BANK
@CBOE,CBOE GLOBAL MARKETS
@Seagate,SEAGATE TECH.
@DollarGeneral,DOLLAR GENERAL
@Fortinet,FORTINET
@MotoSolutions,MOTOROLA SOLUTIONS
@TEConnectivity,TE CONNECTIVITY
@oreillyauto,O REILLY AUTOMOTIVE
@GM,GENERAL MOTORS
@CBRE,CBRE GROUP CLASS A
@egencia,EXPEDIA GROUP
@orbitz,EXPEDIA GROUP
@vrbo,EXPEDIA GROUP
@hotwire,EXPEDIA GROUP
@hotelsdotcom,EXPEDIA GROUP
@expedia,EXPEDIA GROUP
@ExpediaGroup,EXPEDIA GROUP
@Aptiv,APTIV
@Phillips66Co,PHILLIPS 66
@AmericanTowerUS,AMERICAN TOWER
@Facebook,FACEBOOK CLASS A
@DukeEnergy,DUKE ENERGY
@ServiceNow,SERVICENOW
@MDLZ,MONDELEZ INTERNATIONAL CL.A
@eatoncorp,EATON
@abbvie,ABBVIE
@TMobile,T-MOBILE US
@Zoetis,ZOETIS A
@CruiseNorwegian,NORWEGIAN CRUISE LINE HDG.
@L_Brands,L BRANDS
@COTYInc,COTY CL.A
@newscorp,NEWS 'A'
@CDWCorp,CDW
@AmericanAir,AMERICAN AIRLINES GROUP
@IHSMarkit,IHS MARKIT
@WTWcorporate,WILLIS TOWERS WATSON
@bakerhughesco,BAKER HUGHES A
@LambWeston,LAMB WESTON HOLDINGS
@IQVIA_global,IQVIA HOLDINGS
@rentalcars.com,BOOKING HOLDINGS
@agoda,BOOKING HOLDINGS
@opentable,BOOKING HOLDINGS
@priceline,BOOKING HOLDINGS
@kayak,BOOKING HOLDINGS
@bookingcom,BOOKING HOLDINGS
@BookingHoldings,BOOKING HOLDINGS
@TechnipFMC,TECHNIPFMC
@LeidosInc,LEIDOS HOLDINGS
@Broadcom,BROADCOM
@StuartWeitzman,TAPESTRY
@Coach,TAPESTRY
@katespadeny,TAPESTRY
@Twitter,TWITTER
@evergypower,EVERGY
@Schlage_Locks,ALLEGION
@AllegionUS,ALLEGION
@AllegionPlc,ALLEGION
@ICE_Markets,INTERCONTINENTAL EX.
@SterisLifeSci,STERIS
@STERIS_AST,STERIS
@STERIS,STERIS
@PerrigoCompany,PERRIGO
@Cigna,CIGNA
@DowJones,DOW ORD SHS
@amcorpackaging,AMCOR
@Xerox,XEROX HOLDINGS
@FoxNews,FOX A
@AimcoApts,APARTMENT INV.& MAN.'A'
@NortonLifelock ,NORTONLIFELOCK
@DuPont_News,DUPONT DE NEMOURS
@carrier,CARRIER GLOBAL
@OtisElevatorCo,OTIS WORLDWIDE
@GlobeLife,GLOBE LIFE
@corteva,CORTEVA
@L3HarrisTech,L3HARRIS TECHNOLOGIES
@Trane_Tech,TRANE TECHNOLOGIES
@HowmetAerospace,HOWMET AEROSPACE
@TruistNews,TRUIST FINANCIAL
@TruistFinancial,TRUIST FINANCIAL
@ViacomCBS,VIACOMCBS B
@IRProducts,INGERSOLL RAND
@Paycom,PAYCOM SOFTWARE
@Aon_plc,AON CLASS A
@PENTAIR,PENTAIR
@RaytheonTech,RAYTHEON TECHNOLOGIES
@AristaNetworks,ARISTA NETWORKS
@synchrony,SYNCHRONY FINANCIAL
@CFGCommercial,CITIZENS FINANCIAL GROUP
@Keysight,KEYSIGHT TECHNOLOGIES
@QorvoInc,QORVO
@anthemgame,ANTHEM
@CrownCastle,CROWN CASTLE INTL.
@Medtronic,MEDTRONIC
@AllianceBoots,WALGREENS BOOTS ALLIANCE
@WBA_Global,WALGREENS BOOTS ALLIANCE
@MylanNews,MYLAN
@IronMountain,IRON MOUNTAIN
@Equinix,EQUINIX REIT
@EversourceCorp,EVERSOURCE ENERGY
@nielsen,NIELSEN
@johnsoncontrols,JOHNSON CONTROLS INTL.
@DentsplySirone,DENTSPLY SIRONA
@WestRock,WESTROCK
@KraftHeinz,KRAFT HEINZ
@FortiveCorp,FORTIVE
@SPGlobal,S&P GLOBAL
@HiltonHotels,HILTON WORLDWIDE HDG.
@Google,ALPHABET A
@Welltower,WELLTOWER
@HPE,HEWLETT PACKARD ENTER.
@PayPal,PAYPAL HOLDINGS
@HP,HP
@DXCTechnology,DXC TECHNOLOGY
@WECEnergyGroup,WEC ENERGY GROUP
@MonsterEnergy,MONSTER BEVERAGE
@Lindeplc,LINDE
@sbasite,SBA COMMS.
@CharterNewsroom,CHARTER COMMS.CL.A
@GetSpectrum,CHARTER COMMS.CL.A
@SpectrumBiz,CHARTER COMMS.CL.A
@CharterGov,CHARTER COMMS.CL.A
